GEOID,total_pop,median_rent,median_income,median_age,educational_attainment_pop25,bachelor_degree,master_degree,professional_degree,doctoral_degree,white,african_american,tenure_owner,with_children,boardings,alightings
170316720004,498.0,1145.3387096774193,54714.0,37.7,306.0,12.0,37.0,0.0,0.0,6.0,474.0,118.0,126.0,141.0,71.0
170317105001,959.0,912.0,17222.0,24.3,463.0,15.0,22.0,0.0,0.0,0.0,934.0,65.0,386.0,346.0,241.0
170317706023,1451.0,1839.0,89444.0,39.7,1078.0,304.0,73.0,0.0,36.0,960.0,0.0,373.0,201.0,0.0,0.0
170316505003,1613.0,1023.0,72222.0,47.0,1137.0,103.0,67.0,0.0,35.0,993.0,412.0,491.0,232.0,116.0,138.0
170316604004,1903.0,1002.0,52463.0,32.4,1150.0,84.0,0.0,7.0,0.0,1124.0,0.0,340.0,174.0,9.0,25.0
170316605002,1000.0,827.0,42708.0,25.1,502.0,20.0,27.0,0.0,0.0,587.0,188.0,163.0,335.0,31.0,57.0
170316610004,1007.0,1113.0,41481.0,42.2,643.0,61.0,24.0,0.0,0.0,0.0,1007.0,229.0,132.0,64.0,50.0
170316610005,1917.0,1002.0,46339.0,32.1,1146.0,76.0,41.0,0.0,0.0,524.0,1255.0,265.0,433.0,77.0,36.0
170316611001,1371.0,924.0,42004.0,31.0,864.0,0.0,63.0,8.0,7.0,318.0,560.0,221.0,304.0,143.0,43.0
170316611002,978.0,1145.3387096774193,84598.0,34.9,630.0,41.0,19.0,0.0,0.0,307.0,540.0,202.0,155.0,0.0,0.0
170317402002,1457.0,1145.3387096774193,137083.0,39.4,1023.0,403.0,69.0,0.0,0.0,1457.0,0.0,456.0,223.0,6.0,1.0
170317403003,1033.0,1147.0,142431.0,37.3,663.0,191.0,164.0,8.0,13.0,980.0,53.0,256.0,270.0,1.0,8.0
